<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close
2018-04-17,1564.869995,1582.98999,1564.869995,1579.800049,1579.800049
2018-04-18,1580.180054,1592.040039,1580.180054,1583.560059,1583.560059
2018-04-19,1582.819946,1582.949951,1569.160034,1573.819946,1573.819946
2018-04-20,1573.530029,1574.23999,1561.719971,1564.119995,1564.119995
2018-04-23,1564.420044,1571.469971,1556.27002,1562.119995,1562.119995
2018-04-24,1562.390015,1574.47998,1542.300049,1553.280029,1553.280029
2018-04-25,1553.0,1556.089966,1539.949951,1550.469971,1550.469971
2018-04-26,1550.920044,1562.5,1550.310059,1557.890015,1557.890015
2018-04-27,1557.949951,1562.97998,1549.47998,1556.23999,1556.23999
2018-04-30,1556.670044,1563.650024,1541.880005,1541.880005,1541.880005
2018-05-01,1541.77002,1550.859985,1527.709961,1550.329956,1550.329956
2018-05-02,1550.449951,1565.369995,1548.920044,1554.910034,1554.910034
2018-05-03,1554.339966,1554.339966,1532.310059,1546.560059,1546.560059
2018-05-04,1545.829956,1572.77002,1540.369995,1565.599976,1565.599976
2018-05-07,1565.719971,1586.410034,1565.719971,1578.949951,1578.949951
2018-05-08,1578.670044,1586.589966,1576.890015,1586.390015,1586.390015
2018-05-09,1586.73999,1598.76001,1584.170044,1596.050049,1596.050049
2018-05-10,1596.540039,1609.449951,1596.540039,1603.709961,1603.709961
2018-05-11,1603.869995,1609.359985,1599.910034,1606.790039,1606.790039
2018-05-14,1607.390015,1614.23999,1599.72998,1600.339966,1600.339966
2018-05-15,1599.599976,1603.160034,1592.099976,1600.339966,1600.339966
2018-05-16,1601.030029,1620.640015,1601.030029,1616.369995,1616.369995
2018-05-17,1616.219971,1627.319946,1615.459961,1625.290039,1625.290039
2018-05-18,1626.060059,1630.329956,1624.22998,1626.630005,1626.630005
2018-05-21,1627.77002,1639.040039,1627.77002,1637.439941,1637.439941
2018-05-22,1637.650024,1639.890015,1625.23999,1625.23999,1625.23999
2018-05-23,1624.920044,1629.400024,1618.560059,1627.609985,1627.609985
2018-05-24,1627.219971,1630.310059,1616.589966,1628.219971,1628.219971
2018-05-25,1627.930054,1628.72998,1623.329956,1626.930054,1626.930054
2018-05-29,1625.569946,1628.47998,1611.319946,1623.650024,1623.650024
2018-05-30,1624.030029,1651.109985,1624.030029,1647.98999,1647.98999
2018-05-31,1647.969971,1649.72998,1632.25,1633.609985,1633.609985
2018-06-01,1635.400024,1650.5,1635.400024,1647.97998,1647.97998
2018-06-04,1649.199951,1655.709961,1641.219971,1653.369995,1653.369995
2018-06-05,1653.689941,1664.689941,1652.76001,1664.630005,1664.630005
2018-06-06,1665.199951,1676.180054,1664.449951,1675.949951,1675.949951
2018-06-07,1676.52002,1679.9899899999998,1660.890015,1667.77002,1667.77002
2018-06-08,1667.609985,1674.069946,1665.72998,1672.48999,1672.48999
2018-06-11,1672.5,1677.680054,1671.26001,1674.680054,1674.680054
2018-06-12,1674.939941,1686.369995,1674.939941,1682.300049,1682.300049
2018-06-13,1682.719971,1684.839966,1673.920044,1676.540039,1676.540039
2018-06-14,1677.030029,1684.72998,1674.530029,1684.719971,1684.719971
2018-06-15,1684.2399899999998,1684.630005,1672.98999,1683.910034,1683.910034
2018-06-18,1683.5100100000002,1692.459961,1674.410034,1692.459961,1692.459961
2018-06-19,1692.0100100000002,1694.0,1672.660034,1693.449951,1693.449951
2018-06-20,1694.040039,1708.0999760000002,1694.040039,1706.9899899999998,1706.9899899999998
2018-06-21,1706.9899899999998,1708.02002,1685.589966,1688.949951,1688.949951
2018-06-22,1690.280029,1696.369995,1680.910034,1685.5799559999998,1685.5799559999998
2018-06-25,1684.7600100000002,1684.7600100000002,1649.810059,1657.51001,1657.51001
2018-06-26,1657.709961,1672.160034,1656.119995,1668.530029,1668.530029
2018-06-27,1668.939941,1671.469971,1640.420044,1640.449951,1640.449951
2018-06-28,1640.369995,1647.939941,1630.060059,1645.02002,1645.02002
2018-06-29,1645.900024,1656.050049,1642.969971,1643.069946,1643.069946
2018-07-02,1641.72998,1655.089966,1631.060059,1655.089966,1655.089966
2018-07-03,1655.400024,1667.52002,1655.400024,1660.420044,1660.420044
2018-07-05,1660.650024,1679.660034,1660.650024,1679.47998,1679.47998
2018-07-06,1679.449951,1695.180054,1678.569946,1694.050049,1694.050049
2018-07-09,1694.660034,1704.839966,1694.660034,1704.5999760000002,1704.5999760000002
2018-07-10,1704.8299559999998,1708.560059,1689.3499760000002,1695.619995,1695.619995
2018-07-11,1694.060059,1696.02002,1683.0999760000002,1683.660034,1683.660034
2018-07-12,1685.1700440000002,1692.430054,1679.2600100000002,1690.280029,1690.280029
2018-07-13,1690.290039,1697.4000239999998,1686.880005,1687.0799559999998,1687.0799559999998
2018-07-16,1687.060059,1688.4000239999998,1672.420044,1678.540039,1678.540039
2018-07-17,1678.0,1690.040039,1676.099976,1687.2600100000002,1687.2600100000002
2018-07-18,1687.140015,1692.02002,1679.22998,1691.869995,1691.869995
2018-07-19,1691.199951,1702.890015,1686.2600100000002,1701.310059,1701.310059
2018-07-20,1701.1500239999998,1703.430054,1696.040039,1696.810059,1696.810059
2018-07-23,1696.4200440000002,1701.969971,1690.530029,1698.410034,1698.410034
2018-07-24,1700.0999760000002,1706.8299559999998,1675.01001,1680.199951,1680.199951
2018-07-25,1680.339966,1685.4200440000002,1675.050049,1685.199951,1685.199951
2018-07-26,1685.2399899999998,1702.930054,1684.75,1695.359985,1695.359985
2018-07-27,1695.25,1697.300049,1660.430054,1663.339966,1663.339966
2018-07-30,1663.390015,1669.5,1652.72998,1653.130005,1653.130005
2018-07-31,1653.569946,1675.650024,1653.569946,1670.800049,1670.800049
2018-08-01,1670.869995,1673.22998,1657.540039,1669.26001,1669.26001
2018-08-02,1668.98999,1682.300049,1662.329956,1682.0999760000002,1682.0999760000002
2018-08-03,1682.0799559999998,1687.300049,1668.349976,1673.369995,1673.369995
2018-08-06,1673.25,1684.800049,1671.98999,1684.310059,1684.310059
2018-08-07,1684.859985,1694.359985,1684.859985,1688.300049,1688.300049
2018-08-08,1688.680054,1689.339966,1677.670044,1686.880005,1686.880005
2018-08-09,1687.050049,1696.75,1686.430054,1690.890015,1690.890015
2018-08-10,1689.319946,1695.790039,1680.77002,1686.800049,1686.800049
2018-08-13,1686.810059,1689.0999760000002,1670.619995,1675.319946,1675.319946
2018-08-14,1676.189941,1694.959961,1676.189941,1692.5799559999998,1692.5799559999998
2018-08-15,1691.5999760000002,1691.5999760000002,1663.530029,1670.670044,1670.670044
2018-08-16,1691.5999760000002,1691.5999760000002,1663.530029,1685.75,1685.75
2018-08-17,1685.449951,1693.709961,1679.969971,1692.949951,1692.949951
2018-08-20,1693.790039,1701.130005,1690.180054,1698.689941,1698.689941
2018-08-21,1698.910034,1722.290039,1698.910034,1718.050049,1718.050049
2018-08-22,1717.75,1723.0100100000002,1715.800049,1722.540039,1722.540039
2018-08-23,1722.300049,1723.410034,1712.9200440000002,1717.050049,1717.050049
2018-08-24,1718.359985,1726.969971,1718.359985,1725.6700440000002,1725.6700440000002
2018-08-27,1727.3299559999998,1737.630005,1727.3299559999998,1728.410034,1728.410034
2018-08-28,1729.069946,1733.449951,1722.359985,1728.4200440000002,1728.4200440000002
2018-08-29,1729.050049,1737.02002,1724.72998,1734.75,1734.75
2018-08-30,1734.3499760000002,1740.660034,1728.8499760000002,1732.3499760000002,1732.3499760000002
2018-08-31,1731.4899899999998,1742.089966,1728.410034,1740.75,1740.75
2018-09-04,1740.800049,1740.800049,1722.199951,1733.380005,1733.380005
2018-09-05,1732.72998,1732.72998,1713.689941,1727.6500239999998,1727.6500239999998
2018-09-06,1728.25,1731.4200440000002,1713.810059,1714.469971,1714.469971
2018-09-07,1713.8299559999998,1722.619995,1706.640015,1713.180054,1713.180054
2018-09-10,1714.890015,1723.810059,1714.4899899999998,1717.469971,1717.469971
2018-09-11,1717.140015,1723.459961,1710.310059,1718.4000239999998,1718.4000239999998
2018-09-12,1718.25,1718.949951,1704.069946,1715.699951,1715.699951
2018-09-13,1716.949951,1722.619995,1711.939941,1714.319946,1714.319946
2018-09-14,1714.4899899999998,1726.0,1712.810059,1721.719971,1721.719971
2018-09-17,1721.660034,1722.280029,1702.709961,1703.550049,1703.550049
2018-09-18,1704.219971,1714.9200440000002,1704.219971,1710.969971,1710.969971
2018-09-19,1710.880005,1717.089966,1700.5100100000002,1702.930054,1702.930054
2018-09-20,1704.709961,1720.209961,1704.709961,1720.180054,1720.180054
2018-09-21,1720.1500239999998,1724.380005,1710.969971,1712.319946,1712.319946
2018-09-24,1711.6700440000002,1711.7399899999998,1697.7600100000002,1705.319946,1705.319946
2018-09-25,1705.4899899999998,1712.0799559999998,1705.4899899999998,1708.810059,1708.810059
2018-09-26,1709.069946,1710.839966,1690.9200440000002,1691.609985,1691.609985
2018-09-27,1691.72998,1697.1700440000002,1689.7399899999998,1690.530029,1690.530029
2018-09-28,1689.839966,1699.780029,1686.9899899999998,1696.569946,1696.569946
2018-10-01,1697.8299559999998,1703.810059,1669.819946,1672.98999,1672.98999
2018-10-02,1672.97998,1674.869995,1653.339966,1656.040039,1656.040039
2018-10-03,1656.310059,1677.170044,1656.310059,1671.290039,1671.290039
2018-10-04,1671.0,1671.0,1643.660034,1646.910034,1646.910034
2018-10-05,1647.25,1651.530029,1618.140015,1632.109985,1632.109985
2018-10-08,1631.199951,1633.859985,1616.660034,1629.52002,1629.52002
2018-10-09,1628.060059,1635.98999,1621.25,1621.869995,1621.869995
2018-10-10,1621.410034,1621.410034,1575.25,1575.410034,1575.410034
2018-10-11,1575.099976,1580.890015,1545.380005,1545.380005,1545.380005
2018-10-12,1546.849976,1567.640015,1530.97998,1546.680054,1546.680054
2018-10-15,1546.680054,1562.300049,1537.550049,1553.089966,1553.089966
2018-10-16,1554.48999,1598.01001,1554.109985,1596.839966,1596.839966
2018-10-17,1596.380005,1596.380005,1571.51001,1589.599976,1589.599976
2018-10-18,1588.73999,1588.73999,1555.569946,1560.75,1560.75
2018-10-19,1560.640015,1569.810059,1538.73999,1542.040039,1542.040039
2018-10-22,1542.420044,1551.359985,1535.780029,1539.5,1539.5
2018-10-23,1536.930054,1537.160034,1501.040039,1526.589966,1526.589966
2018-10-24,1526.560059,1527.709961,1468.459961,1468.699951,1468.699951
2018-10-25,1470.530029,1506.780029,1470.530029,1500.400024,1500.400024
2018-10-26,1500.150024,1501.300049,1459.160034,1483.819946,1483.819946
2018-10-29,1485.199951,1513.280029,1461.650024,1477.310059,1477.310059
2018-10-30,1476.969971,1507.160034,1474.800049,1506.640015,1506.640015
2018-10-31,1508.819946,1526.329956,1508.819946,1511.410034,1511.410034
2018-11-01,1512.680054,1547.140015,1512.680054,1544.97998,1544.97998
2018-11-02,1546.130005,1557.180054,1535.959961,1547.97998,1547.97998
2018-11-05,1548.339966,1554.77002,1534.76001,1547.51001,1547.51001
2018-11-06,1547.099976,1558.859985,1544.650024,1556.099976,1556.099976
2018-11-07,1556.27002,1582.160034,1556.27002,1582.160034,1582.160034
2018-11-08,1581.619995,1586.170044,1573.150024,1578.209961,1578.209961
2018-11-09,1577.040039,1577.040039,1539.920044,1549.48999,1549.48999
2018-11-12,1549.01001,1549.01001,1518.040039,1518.790039,1518.790039
2018-11-13,1519.98999,1536.709961,1513.300049,1514.800049,1514.800049
2018-11-14,1516.079956,1530.619995,1494.920044,1502.51001,1502.51001
2018-11-15,1502.329956,1524.290039,1491.660034,1524.119995,1524.119995
2018-11-16,1523.75,1530.0,1510.410034,1527.530029,1527.530029
2018-11-19,1527.329956,1527.329956,1492.949951,1496.540039,1496.540039
2018-11-20,1496.140015,1496.140015,1465.25,1469.01001,1469.01001
2018-11-21,1469.449951,1499.369995,1469.449951,1488.280029,1488.280029
2018-11-23,1485.72998,1498.650024,1476.810059,1488.680054,1488.680054
2018-11-26,1489.099976,1510.290039,1489.099976,1505.959961,1505.959961
2018-11-27,1505.449951,1505.449951,1491.27002,1492.859985,1492.859985
2018-11-28,1493.670044,1530.709961,1486.339966,1530.380005,1530.380005
2018-11-29,1529.699951,1534.619995,1514.569946,1525.390015,1525.390015
2018-11-30,1524.869995,1535.130005,1519.98999,1533.27002,1533.27002
2018-12-03,1536.329956,1553.339966,1529.530029,1548.959961,1548.959961
2018-12-04,1548.109985,1548.109985,1479.910034,1480.75,1480.75
2018-12-06,1479.160034,1479.160034,1442.829956,1477.410034,1477.410034
2018-12-07,1477.51001,1485.630005,1440.849976,1448.089966,1448.089966
2018-12-10,1448.01001,1449.930054,1422.97998,1443.099976,1443.099976
2018-12-11,1444.290039,1465.76001,1431.880005,1440.130005,1440.130005
2018-12-12,1440.699951,1471.959961,1440.699951,1455.319946,1455.319946
2018-12-13,1455.680054,1460.550049,1431.680054,1432.699951,1432.699951
2018-12-14,1431.819946,1435.390015,1407.109985,1410.810059,1410.810059
2018-12-17,1410.77002,1417.099976,1372.72998,1378.140015,1378.140015
2018-12-18,1379.48999,1399.430054,1373.719971,1377.180054,1377.180054
2018-12-19,1377.209961,1392.920044,1344.150024,1349.22998,1349.22998
2018-12-20,1348.650024,1350.890015,1313.02002,1326.0,1326.0
2018-12-21,1325.869995,1334.76001,1289.48999,1292.089966,1292.089966
2018-12-24,1290.540039,1290.920044,1266.920044,1266.920044,1266.920044
2018-12-26,1268.189941,1330.420044,1268.189941,1329.810059,1329.810059
2018-12-27,1329.790039,1331.97998,1289.319946,1331.819946,1331.819946
2018-12-28,1332.060059,1356.22998,1326.439941,1337.920044,1337.920044
2018-12-31,1338.52002,1348.560059,1329.170044,1348.560059,1348.560059
2019-01-02,1346.109985,1357.77002,1325.180054,1355.910034,1355.910034
2019-01-03,1355.02002,1355.02002,1328.0,1330.829956,1330.829956
2019-01-04,1333.099976,1383.160034,1333.099976,1380.75,1380.75
2019-01-07,1380.839966,1411.900024,1380.839966,1405.369995,1405.369995
2019-01-08,1405.869995,1426.550049,1404.01001,1426.550049,1426.550049
2019-01-09,1427.0,1442.420044,1427.0,1438.810059,1438.810059
2019-01-10,1436.97998,1445.780029,1424.540039,1445.430054,1445.430054
2019-01-11,1444.439941,1448.280029,1437.449951,1447.380005,1447.380005
2019-01-14,1446.5,1446.5,1431.310059,1432.810059,1432.810059
2019-01-15,1432.849976,1445.219971,1432.130005,1445.219971,1445.219971
2019-01-16,1445.910034,1460.310059,1445.910034,1454.699951,1454.699951
2019-01-17,1453.829956,1470.839966,1448.550049,1467.25,1467.25
2019-01-18,1466.689941,1487.209961,1466.689941,1482.5,1482.5
2019-01-22,1479.819946,1479.819946,1451.01001,1457.449951,1457.449951
2019-01-23,1457.72998,1468.47998,1444.969971,1454.26001,1454.26001
2019-01-24,1454.22998,1465.339966,1453.72998,1464.410034,1464.410034
2019-01-25,1466.790039,1484.599976,1466.790039,1482.849976,1482.849976
2019-01-28,1480.280029,1480.280029,1464.77002,1473.540039,1473.540039
2019-01-29,1473.540039,1477.01001,1469.310059,1471.449951,1471.449951
2019-01-30,1473.380005,1490.51001,1467.569946,1486.939941,1486.939941
2019-01-31,1486.640015,1500.73999,1484.819946,1499.420044,1499.420044
2019-02-01,1499.530029,1504.51001,1495.469971,1502.050049,1502.050049
2019-02-04,1501.969971,1517.550049,1500.130005,1517.540039,1517.540039
2019-02-05,1517.920044,1524.209961,1512.719971,1520.22998,1520.22998
2019-02-06,1520.170044,1520.890015,1511.180054,1518.02002,1518.02002
2019-02-07,1516.699951,1516.699951,1494.369995,1505.630005,1505.630005
2019-02-08,1504.170044,1506.599976,1495.119995,1506.390015,1506.390015
2019-02-11,1506.819946,1519.209961,1505.670044,1518.97998,1518.97998
2019-02-12,1520.140015,1538.890015,1520.140015,1538.22998,1538.22998
2019-02-13,1538.290039,1545.73999,1536.25,1542.939941,1542.939941
2019-02-14,1540.98999,1551.390015,1534.589966,1545.109985,1545.109985
2019-02-15,1547.119995,1570.160034,1547.119995,1569.25,1569.25
2019-02-19,1568.540039,1578.22998,1564.849976,1574.469971,1574.469971
2019-02-20,1574.550049,1583.339966,1573.959961,1581.660034,1581.660034
2019-02-21,1581.310059,1581.310059,1569.420044,1575.550049,1575.550049
2019-02-22,1576.310059,1590.099976,1576.310059,1590.060059,1590.060059
2019-02-25,1591.619995,1602.099976,1588.810059,1588.810059,1588.810059
2019-02-26,1588.560059,1589.26001,1577.430054,1577.47998,1577.47998
2019-02-27,1577.199951,1582.060059,1570.599976,1581.050049,1581.050049
2019-02-28,1580.76001,1581.98999,1571.310059,1575.550049,1575.550049
2019-03-01,1577.5,1590.290039,1576.130005,1589.640015,1589.640015
2019-03-04,1590.150024,1594.23999,1564.47998,1575.439941,1575.439941
2019-03-05,1575.689941,1575.849976,1567.670044,1568.280029,1568.280029
2019-03-06,1568.310059,1568.439941,1536.819946,1536.819946,1536.819946
2019-03-07,1536.76001,1536.969971,1521.609985,1523.630005,1523.630005
2019-03-08,1522.530029,1523.23999,1510.650024,1521.880005,1521.880005
2019-03-11,1522.800049,1548.930054,1522.800049,1548.880005,1548.880005
2019-03-12,1549.030029,1555.300049,1545.51001,1549.829956,1549.829956
2019-03-13,1550.27002,1562.670044,1550.27002,1555.880005,1555.880005
2019-03-14,1555.869995,1555.869995,1549.209961,1549.640015,1549.640015
2019-03-15,1550.5,1563.589966,1550.130005,1553.540039,1553.540039
2019-03-18,1553.660034,1569.060059,1552.680054,1563.930054,1563.930054
2019-03-19,1565.530029,1570.890015,1552.660034,1554.98999,1554.98999
2019-03-20,1554.719971,1561.73999,1535.410034,1543.160034,1543.160034
2019-03-21,1541.829956,1569.349976,1538.359985,1562.410034,1562.410034
2019-03-22,1561.969971,1561.969971,1505.880005,1505.920044,1505.920044
2019-03-25,1505.869995,1520.48999,1494.98999,1512.859985,1512.859985
2019-03-26,1513.76001,1535.869995,1513.76001,1528.170044,1528.170044
2019-03-27,1527.969971,1530.050049,1505.76001,1522.22998,1522.22998
2019-03-28,1522.890015,1536.439941,1520.119995,1535.099976,1535.099976
2019-03-29,1536.609985,1546.97998,1532.22998,1539.73999,1539.73999
2019-04-01,1542.890015,1556.400024,1542.890015,1556.060059,1556.060059
2019-04-02,1556.079956,1556.130005,1545.550049,1553.319946,1553.319946
2019-04-03,1554.880005,1568.400024,1554.880005,1560.910034,1560.910034
2019-04-04,1561.069946,1567.5,1558.359985,1567.48999,1567.48999
2019-04-05,1568.22998,1582.609985,1568.22998,1582.560059,1582.560059
2019-04-08,1581.349976,1581.349976,1571.209961,1579.0,1579.0
2019-04-09,1577.51001,1577.51001,1558.390015,1559.680054,1559.680054
2019-04-10,1560.02002,1581.650024,1560.02002,1581.550049,1581.550049
2019-04-11,1581.930054,1583.72998,1577.369995,1579.140015,1579.140015
2019-04-12,1581.380005,1589.72998,1580.22998,1584.800049,1584.800049
2019-04-15,1585.170044,1587.97998,1574.72998,1579.170044,1579.170044
2019-04-16,1580.26001,1585.430054,1579.48999,1582.790039,1582.790039
2019-04-17,1584.130005,1588.599976,1561.569946,1567.599976,1567.599976
2019-04-18,1567.089966,1569.199951,1556.109985,1565.75,1565.75
2019-04-22,1565.219971,1565.219971,1554.459961,1560.040039,1560.040039
2019-04-23,1560.530029,1587.579956,1560.530029,1585.089966,1585.089966
2019-04-24,1585.109985,1594.030029,1583.359985,1588.130005,1588.130005
2019-04-25,1587.050049,1587.050049,1565.459961,1575.609985,1575.609985
2019-04-26,1575.660034,1591.25,1574.060059,1589.900024,1589.900024
2019-04-29,1591.930054,1603.079956,1591.930054,1598.359985,1598.359985
2019-04-30,1598.550049,1600.290039,1580.900024,1591.209961,1591.209961
2019-05-01,1593.47998,1595.849976,1576.130005,1576.380005,1576.380005
2019-05-02,1576.0,1587.920044,1566.459961,1582.650024,1582.650024
2019-05-03,1584.01001,1614.02002,1584.01001,1614.02002,1614.02002
2019-05-06,1611.680054,1618.369995,1588.839966,1614.97998,1614.97998
2019-05-07,1611.469971,1611.469971,1571.48999,1582.310059,1582.310059
2019-05-08,1581.589966,1587.349976,1574.849976,1574.969971,1574.969971
2019-05-09,1573.339966,1573.339966,1546.849976,1570.060059,1570.060059
2019-05-10,1570.0,1575.079956,1546.140015,1572.98999,1572.98999
2019-05-13,1571.51001,1571.51001,1520.280029,1523.0,1523.0
2019-05-14,1523.810059,1547.839966,1523.810059,1543.060059,1543.060059
2019-05-15,1541.550049,1550.02002,1529.439941,1548.27002,1548.27002
2019-05-16,1548.27002,1567.170044,1548.27002,1557.23999,1557.23999
2019-05-17,1555.02002,1557.550049,1534.689941,1535.76001,1535.76001
2019-05-20,1530.25,1533.359985,1521.630005,1524.959961,1524.959961
2019-05-21,1529.819946,1545.97998,1529.819946,1545.25,1545.25
2019-05-22,1542.579956,1542.579956,1528.359985,1531.630005,1531.630005
2019-05-23,1525.069946,1525.069946,1493.47998,1501.380005,1501.380005
2019-05-24,1505.880005,1516.660034,1505.76001,1514.109985,1514.109985
2019-05-28,1514.98999,1520.219971,1503.810059,1504.02002,1504.02002
2019-05-29,1503.530029,1503.530029,1481.420044,1489.949951,1489.949951
2019-05-30,1491.849976,1500.630005,1478.0,1485.530029,1485.530029
2019-05-31,1478.530029,1478.530029,1461.469971,1465.48999,1465.48999
2019-06-03,1465.880005,1476.849976,1460.48999,1469.97998,1469.97998
2019-06-04,1475.319946,1508.650024,1475.319946,1508.560059,1508.560059
2019-06-05,1510.099976,1514.25,1494.079956,1506.790039,1506.790039
2019-06-06,1506.349976,1508.540039,1490.77002,1499.290039,1499.290039
2019-06-07,1504.680054,1518.920044,1504.680054,1514.390015,1514.390015
2019-06-10,1516.619995,1535.640015,1516.619995,1523.560059,1523.560059
2019-06-11,1525.030029,1536.160034,1513.209961,1519.109985,1519.109985
2019-06-12,1518.640015,1522.0,1512.400024,1519.790039,1519.790039
2019-06-13,1520.52002,1536.02002,1520.52002,1535.800049,1535.800049
2019-06-14,1535.319946,1535.319946,1522.420044,1522.5,1522.5
2019-06-17,1523.25,1538.579956,1523.25,1532.75,1532.75
2019-06-18,1532.869995,1560.180054,1532.869995,1550.22998,1550.22998
2019-06-19,1550.459961,1556.449951,1547.589966,1555.579956,1555.579956
2019-06-20,1560.310059,1570.73999,1556.079956,1563.48999,1563.48999
2019-06-21,1561.880005,1561.880005,1546.130005,1549.630005,1549.630005
2019-06-24,1550.099976,1551.650024,1530.079956,1530.079956,1530.079956
2019-06-25,1530.98999,1533.23999,1520.5,1521.040039,1521.040039
2019-06-26,1523.26001,1530.130005,1520.040039,1521.890015,1521.890015
2019-06-27,1518.880005,1546.550049,1518.880005,1546.550049,1546.550049
2019-06-28,1548.119995,1568.599976,1548.119995,1566.569946,1566.569946
2019-07-01,1574.650024,1586.77002,1562.780029,1566.569946,1566.569946
2019-07-02,1569.530029,1569.530029,1552.930054,1560.540039,1560.540039
2019-07-03,1562.189941,1572.119995,1562.189941,1572.119995,1572.119995
2019-07-05,1571.109985,1575.790039,1559.579956,1575.619995,1575.619995
2019-07-08,1574.22998,1574.22998,1559.02002,1561.390015,1561.390015
2019-07-09,1559.01001,1562.72998,1554.119995,1562.589966,1562.589966
2019-07-10,1564.650024,1572.819946,1558.800049,1565.050049,1565.050049
2019-07-11,1565.459961,1567.949951,1552.400024,1557.920044,1557.920044
2019-07-12,1558.650024,1574.47998,1558.650024,1570.0,1570.0
2019-07-15,1570.72998,1573.880005,1558.780029,1561.819946,1561.819946
2019-07-16,1561.48999,1569.619995,1558.23999,1562.0,1562.0
2019-07-17,1561.75,1561.75,1547.76001,1550.780029,1550.780029
2019-07-18,1550.319946,1557.400024,1546.02002,1555.619995,1555.619995
2019-07-19,1554.920044,1561.560059,1547.640015,1547.900024,1547.900024
2019-07-22,1549.72998,1554.290039,1543.560059,1544.780029,1544.780029
2019-07-23,1546.119995,1555.199951,1544.76001,1554.959961,1554.959961
2019-07-24,1554.089966,1581.630005,1550.569946,1580.420044,1580.420044
2019-07-25,1580.209961,1580.209961,1560.650024,1561.449951,1561.449951
2019-07-26,1561.930054,1581.530029,1561.930054,1578.969971,1578.969971
2019-07-29,1578.900024,1580.02002,1565.630005,1569.030029,1569.030029
2019-07-30,1567.650024,1586.319946,1557.969971,1585.599976,1585.599976
2019-07-31,1586.76001,1599.400024,1568.400024,1574.609985,1574.609985
2019-08-01,1574.930054,1587.810059,1546.550049,1550.76001,1550.76001
2019-08-02,1550.459961,1550.459961,1522.369995,1533.660034,1533.660034
2019-08-05,1532.390015,1532.390015,1472.660034,1487.410034,1487.410034
2019-08-06,1487.680054,1502.859985,1483.400024,1502.089966,1502.089966
2019-08-07,1501.530029,1504.589966,1478.449951,1500.689941,1500.689941
2019-08-08,1502.319946,1533.5,1502.319946,1532.130005,1532.130005
2019-08-09,1530.959961,1530.959961,1509.959961,1513.040039,1513.040039
2019-08-12,1512.76001,1512.76001,1495.630005,1495.900024,1495.900024
2019-08-13,1493.410034,1522.77002,1490.0,1510.579956,1510.579956
2019-08-14,1509.579956,1509.579956,1465.459961,1467.52002,1467.52002
2019-08-15,1467.579956,1470.939941,1456.280029,1461.650024,1461.650024
2019-08-16,1462.130005,1494.680054,1462.130005,1493.640015,1493.640015
2019-08-19,1496.619995,1515.339966,1496.619995,1508.849976,1508.849976
2019-08-20,1508.630005,1508.630005,1497.77002,1498.01001,1498.01001
2019-08-21,1498.540039,1512.079956,1498.540039,1509.849976,1509.849976
2019-08-22,1510.800049,1516.469971,1500.369995,1506.0,1506.0
2019-08-23,1504.300049,1505.680054,1456.900024,1459.48999,1459.48999
2019-08-26,1461.589966,1476.339966,1461.589966,1476.0,1476.0
2019-08-27,1479.459961,1485.670044,1454.910034,1456.040039,1456.040039
2019-08-28,1455.900024,1478.030029,1450.319946,1472.709961,1472.709961
2019-08-29,1478.47998,1498.780029,1478.47998,1496.719971,1496.719971
2019-08-30,1499.069946,1504.449951,1488.339966,1494.839966,1494.839966
2019-09-03,1494.030029,1494.030029,1467.469971,1472.280029,1472.280029
2019-09-04,1475.359985,1487.939941,1475.359985,1484.76001,1484.76001
2019-09-05,1491.27002,1521.790039,1491.27002,1510.75,1510.75
2019-09-06,1511.51001,1517.01001,1504.910034,1505.170044,1505.170044
2019-09-09,1507.530029,1526.099976,1506.77002,1524.22998,1524.22998
2019-09-10,1523.569946,1543.630005,1516.560059,1541.609985,1541.609985
2019-09-11,1543.869995,1575.829956,1541.880005,1575.709961,1575.709961
2019-09-12,1575.800049,1580.719971,1562.810059,1575.069946,1575.069946
2019-09-13,1579.22998,1589.449951,1577.109985,1578.140015,1578.140015
2019-09-16,1574.72998,1590.5,1570.5,1584.599976,1584.599976
2019-09-17,1582.369995,1582.369995,1569.410034,1578.290039,1578.290039
2019-09-18,1577.550049,1577.550049,1557.150024,1568.339966,1568.339966
2019-09-19,1570.76001,1581.349976,1560.920044,1561.469971,1561.469971
2019-09-20,1561.630005,1570.02002,1554.25,1559.76001,1559.76001
2019-09-23,1556.920044,1563.640015,1552.449951,1558.25,1558.25
2019-09-24,1559.47998,1562.630005,1530.329956,1533.589966,1533.589966
2019-09-25,1533.140015,1552.939941,1530.699951,1550.650024,1550.650024
2019-09-26,1549.540039,1549.540039,1531.040039,1533.329956,1533.329956
2019-09-27,1534.119995,1539.369995,1515.640015,1520.47998,1520.47998
2019-09-30,1521.48999,1530.660034,1518.339966,1523.369995,1523.369995
2019-10-01,1523.849976,1539.089966,1491.550049,1493.430054,1493.430054
2019-10-02,1493.069946,1493.069946,1469.079956,1479.630005,1479.630005
2019-10-03,1476.439941,1487.349976,1462.219971,1486.349976,1486.349976
2019-10-04,1486.569946,1500.77002,1482.02002,1500.699951,1500.699951
2019-10-07,1498.709961,1507.329956,1492.609985,1497.790039,1497.790039
2019-10-08,1494.609985,1494.609985,1472.550049,1472.599976,1472.599976
